epoch,train_loss,eval_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_recall,train_weighted_precision,train_weighted_f1,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_recall,eval_weighted_precision,eval_weighted_f1
0,4.7605758407366565,4.654997159075993,0.04680384550514421,0.01110411772495918,0.012530707046800763,0.010627782076484838,0.04680384550514421,0.03530168497322892,0.03741173122446186,0.061045531197301856,0.0057564679417460955,0.013074912052411515,0.005981970420563873,0.061045531197301856,0.02556972157232396,0.027098234451946104
1,4.292323782758893,4.111953899424563,0.11207623545285883,0.02102470905671919,0.025478117248763216,0.014319824297819637,0.11207623545285883,0.06624215070905552,0.05919321279948241,0.1342327150084317,0.03556334045000135,0.030850358114183067,0.01738083470553442,0.1342327150084317,0.10144679762351956,0.07136030213979722
2,3.9534856019958333,3.8071873341837237,0.1522179119581717,0.033277427586472175,0.03630492046554241,0.022963867445873597,0.1522179119581717,0.09698360371845847,0.08873580431065126,0.18718381112984822,0.046541623224450684,0.0469333967309673,0.03194016014378169,0.18718381112984822,0.12761043227061442,0.11481196742095987
3,3.693882925491127,3.5703098697047078,0.20315398886827457,0.06624329641502316,0.052505791010098064,0.03783727700331354,0.20315398886827457,0.15713242050466963,0.13350054704699385,0.23338954468802697,0.08030364723293913,0.06245397995184926,0.04590695731932365,0.23338954468802697,0.19026379591660025,0.1562073502337937
4,3.4686724278483427,3.3565096675708728,0.24304267161410018,0.08450795089955303,0.06768698610896795,0.0530798029770079,0.24304267161410018,0.19219104906007156,0.17288117090642569,0.27318718381112983,0.08578416381497297,0.07712187261822881,0.06167792038121812,0.27318718381112983,0.2115278090987944,0.19965594863815259
5,3.250395375120672,3.1851237332949074,0.28014842300556586,0.10836974464506728,0.08451582608910183,0.07180507416864666,0.28014842300556586,0.2293180619875999,0.21401723844835582,0.30590219224283305,0.09757615531423272,0.09360358984265926,0.08052920239106579,0.30590219224283305,0.23767362751436266,0.23935097719033063
6,3.0614743547619514,3.017508622138731,0.3155675493337831,0.1152369451856456,0.10061298836453858,0.08855645871830019,0.3155675493337831,0.2509846764092316,0.250814059732898,0.3315345699831366,0.12590831931501129,0.10767100992782871,0.09518766428322645,0.3315345699831366,0.27110251475968,0.2658784708354256
7,2.885489145700501,2.883475383122762,0.3498060381177264,0.1405074001040923,0.11999663038537581,0.10900300988069021,0.3498060381177264,0.2854642391302951,0.2875861736939893,0.357504215851602,0.1654890714146301,0.12393251603696295,0.11496010266840219,0.357504215851602,0.30788078072908237,0.29393981529133534
8,2.742401448221541,2.771225078131563,0.3770450328891887,0.18523169085674293,0.13670538955826447,0.12942788447024048,0.3770450328891887,0.33148765210062636,0.31916826694508293,0.3706576728499157,0.1702792934263459,0.1351704823769003,0.12736605343912055,0.3706576728499157,0.32158095832109346,0.31393160473421494
9,2.603877887892916,2.669531004403227,0.3995614774835554,0.22122154295029828,0.15167678441115007,0.14626951219989487,0.3995614774835554,0.3612904918484234,0.344910254676363,0.39662731871838114,0.18767147011876012,0.15157256293169893,0.1455079153314225,0.39662731871838114,0.347681630156026,0.3419400227192438
