id,alcohol,chlorides,citric acid,density,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
707,9.9,0.094,0.08,0.9868,0.2738543653395027,0.0015625096857547,0.2900672380346805,0.4828109018013538,0.2557781427167356,0.0300295678898692,0.157586256669139,0.1566414760891348,0.9235106150154024,0.3146233388688415,7.8,17.0,3.24,5.798757194682231,2.6,4.59,50.0,0.44
91,10.6,0.091,0.37,1.00786,0.9781932523474096,0.4783950746059418,0.2535176675301045,0.442596798670564,0.4270813276525587,0.7138480176217854,0.3828340200539734,0.7300107802730054,0.8665815962012857,0.8692152029834688,9.8,12.0,3.27,5.591483880330238,2.2,4.5600000000000005,24.0,0.41
362,10.4,0.125,0.0,0.98629,0.6200605200137943,0.2554924676660448,0.8997146219480783,0.7561972328284109,0.1121017108671367,0.7485908085945994,0.6584833938075416,0.8985371121671051,0.1858779890462756,0.3179456882644444,6.8,23.0,3.48,5.867730590864323,2.9,4.63,30.0,0.68
1254,9.4,0.0829999999999999,0.3,0.98685,0.3710377099923789,0.4335247378330678,0.3966309207025915,0.7814221241021028,0.4931679826695472,0.9090157486498356,0.7138328766072504,0.9339113605674356,0.5277364393696189,0.6536393300630152,7.4,33.0,3.45,7.43503067968061,1.7,4.59,72.0,0.38
23,9.3,0.07,0.26,1.0081,0.768617135239765,0.4216146569233387,0.533561400603503,0.5605722919813848,0.6483136375900358,0.8726123385131359,0.5457745524376997,0.2098763121757656,0.9641397278755904,0.2942069196142256,7.5,37.0,3.4,5.716626085925419,7.1000000000000005,4.49,123.0,0.6
966,9.4,0.0689999999999999,0.51,1.0094,0.6362505778670311,0.9225436090491712,0.7509917034767568,0.6054855562938926,0.3826858464162797,0.8357499693520367,0.4217089227437716,0.2995863540563732,0.5465963250026107,0.1283004863653332,12.6,8.0,3.07,5.207959072673394,1.9,4.6,23.0,0.38
1400,10.2,0.068,0.3,1.00914,0.7019307413138449,0.9397969089914112,0.939678338356316,0.4105662889200018,0.8180644086096436,0.0568377072922885,0.2697033716328462,0.7678812437225133,0.031285751145333,0.6789984328206629,7.2,22.0,3.33,3.6402498359705935,4.4,5.17,111.0,0.6
869,9.4,0.077,0.04,0.99565,0.3753610316198319,0.8165989257395267,0.0901763846632093,0.42303745578771,0.8728240428026766,0.6446420117281377,0.3923548576565413,0.488843783037737,0.0142236824613064,0.2536591785028577,7.2,14.0,3.38,1.8269102635666128,1.9,4.6,67.0,0.955
391,10.1,0.099,0.07,0.9958,0.8804221369791776,0.7279930203221738,0.0527500847820192,0.5920394792831019,0.9485322900582104,0.9177390416152776,0.478615502277415,0.8319877146277577,0.5745916268788278,0.6525281444191933,6.9,19.0,3.38,6.170146795651976,2.3,4.54,81.0,0.675
1301,9.9,0.052,0.32,0.99728,0.0960841439664363,0.2099710560869425,0.9372699088416994,0.6161737919076892,0.7962726466357708,0.5382772353477776,0.4495765294815829,0.8686966199893504,0.0464948923327028,0.285339213674888,7.5,33.0,3.33,6.2586397800857645,2.0,4.65,54.0,0.5
