id,alcohol,chlorides,citric acid,density,feat04,feat07,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
707,9.9,0.094,0.08,0.9868,0.4828109018013538,0.157586256669139,7.8,17.0,3.24,5.798757194682231,2.6,4.59,50.0,0.44
91,10.6,0.091,0.37,1.00786,0.442596798670564,0.3828340200539734,9.8,12.0,3.27,5.591483880330238,2.2,4.5600000000000005,24.0,0.41
362,10.4,0.125,0.0,0.98629,0.7561972328284109,0.6584833938075416,6.8,23.0,3.48,5.867730590864323,2.9,4.63,30.0,0.68
1254,9.4,0.0829999999999999,0.3,0.98685,0.7814221241021028,0.7138328766072504,7.4,33.0,3.45,7.43503067968061,1.7,4.59,72.0,0.38
23,9.3,0.07,0.26,1.0081,0.5605722919813848,0.5457745524376997,7.5,37.0,3.4,5.716626085925419,7.1000000000000005,4.49,123.0,0.6
966,9.4,0.0689999999999999,0.51,1.0094,0.6054855562938926,0.4217089227437716,12.6,8.0,3.07,5.207959072673394,1.9,4.6,23.0,0.38
1400,10.2,0.068,0.3,1.00914,0.4105662889200018,0.2697033716328462,7.2,22.0,3.33,3.6402498359705935,4.4,5.17,111.0,0.6
869,9.4,0.077,0.04,0.99565,0.42303745578771,0.3923548576565413,7.2,14.0,3.38,1.8269102635666128,1.9,4.6,67.0,0.955
391,10.1,0.099,0.07,0.9958,0.5920394792831019,0.478615502277415,6.9,19.0,3.38,6.170146795651976,2.3,4.54,81.0,0.675
1301,9.9,0.052,0.32,0.99728,0.6161737919076892,0.4495765294815829,7.5,33.0,3.33,6.2586397800857645,2.0,4.65,54.0,0.5
1221,9.2,0.16,0.19,1.0086,0.3913019707085542,0.6487117536421981,9.1,53.0,3.2,4.930594902935505,3.8,4.93,147.0,0.63
873,9.5,0.093,0.29,0.98642,0.6674854605454569,0.432306879742992,8.0,23.0,3.19,6.221921428954999,4.2,4.53,63.0,0.8099999999999999
973,9.6,0.064,0.08,1.00553,0.5568109697341694,0.439987690537607,7.0,20.0,3.33,6.288451034860478,2.1,4.65,39.0,0.49
991,10.4,0.098,0.49,1.0004,0.4865904682898581,0.4221558741925191,12.1,14.0,3.19,5.038391292101244,2.6,4.61,43.0,0.37
751,11.1,0.064,0.22,0.99438,0.3164533719643981,0.6945827662901738,7.0,17.0,3.43,6.163658255164773,1.7,4.82,24.0,0.54
949,10.8,0.071,0.0,0.99518,0.632632278583958,0.629327728730762,7.1000000000000005,23.0,3.44,4.727048899656439,2.7,4.52,43.0,0.57
654,9.3,0.081,0.36,0.987,0.7800139916908405,0.5219876681435465,8.799999999999999,32.0,3.23,5.909266700399831,2.9,4.5600000000000005,121.0,0.39
1016,9.2,0.0809999999999999,0.1,1.006,0.5834324115009181,0.3495191519884512,7.2,29.0,3.31,6.454107802602579,1.2999999999999998,4.61,65.0,0.62
1122,9.2,0.118,0.24,0.9967,0.5688978461286258,0.5634314706324368,7.5,20.0,3.29,6.246252845399019,1.7999999999999998,4.59,102.0,0.72
977,9.9,0.083,0.25,0.99815,0.8208874630417192,0.482901988363902,8.799999999999999,10.0,3.31,5.736460442534625,1.9,4.6,27.0,0.635
1220,9.8,0.074,0.0,0.99656,0.7849663710535267,0.5249676479964217,8.299999999999999,12.0,3.28,5.4698768981707655,2.1,4.5,33.0,0.87
1251,9.4,0.61,1.0,1.0096,0.3813373741876887,0.5884829872071753,9.4,34.0,2.77,3.8996704733690266,3.3,6.0,71.0,0.52
590,10.5,0.084,0.02,1.00538,0.5201806343659244,0.7685607696666072,7.7,15.0,3.39,5.538208806230045,1.6,4.54,33.0,0.5
622,10.8,0.08,0.1,0.99736,0.6577201153262695,0.5715623177344353,7.6,18.0,3.61,6.894813597250102,2.3,4.69,34.0,0.655
847,11.0,0.08,0.03,1.00578,0.7067460157085916,0.8177261494835726,7.8,29.0,3.47,5.226500157018037,1.9,4.64,43.0,0.65
671,13.4,0.076,0.67,1.0088,0.335237310600726,0.6603169412510617,11.5,8.0,3.25,7.767723531869845,5.1000000000000005,4.69,19.0,0.61
1169,9.9,0.076,0.13,0.9873,0.7450323577694014,0.7404199705998228,6.9,17.0,3.64,5.919074236515252,1.9,4.64,34.0,0.55
918,11.0,0.09,0.03,0.98578,0.3206748537997037,0.735550643340073,7.8,29.0,3.47,6.277983806165434,1.9,4.64,42.0,0.63
604,11.1,0.086,0.33,1.00599,0.7330726990305436,0.456812551024209,8.399999999999999,13.0,3.3,5.078568521039886,2.3,4.8100000000000005,49.0,0.36
895,10.9,0.0809999999999999,0.55,1.0086,0.5489260554019615,0.4239557192522944,12.0,7.0,3.14,5.146879230501642,2.0,4.62,19.0,0.4
1165,10.0,0.074,0.57,0.9881,0.3419146012988395,0.632457359268832,11.8,5.0,3.17,5.459280000240246,1.7,4.7,7.0,0.23
269,11.1,0.065,0.27,1.00516,0.5998247170286881,0.1228718794634729,8.799999999999999,16.0,3.21,5.491781699140341,2.2,4.8,29.0,0.49
224,12.4,0.065,0.54,0.99531,0.463039247192461,0.4642543345174195,10.3,9.0,3.2,5.4818797730050415,2.2,4.53,27.0,0.26
1364,9.8,0.073,0.15,0.989,0.6691503767889055,0.5569995541292018,8.6,13.0,3.4,5.675792501544802,5.9,4.49,53.0,1.025
